"";"ano";"uf";"divisao";"percentual";"vinculos"
"14451";1994;"SP";21;0,0361405202708013;89069
"14452";1994;"SP";23;0,0648895700484414;36539
"14462";1994;"SP";24;0,0227808713547898;203109
"14460";1994;"SP";26;0,125590186759593;128561
"14465";1994;"SP";27;0,0197844607878832;137330
"14459";1994;"SP";28;0,0397332191493917;214858
"14453";1994;"SP";29;0,0239688154058476;218826
"14454";1994;"SP";31;0,0275066405083117;123861
"14464";1994;"SP";34;0,0152864149249904;249568
"14456";1994;"SP";35;0,030917836915199;25778
"14455";1994;"SP";36;0,170952649283677;117126
"576";1994;"TO";1;0,476770753998477;2626
"597";1994;"TO";5;0;0
"578";1994;"TO";10;0;0
"581";1994;"TO";11;0;0
"579";1994;"TO";13;0,0311688311688312;385
"580";1994;"TO";14;0,35377358490566;212
"588";1994;"TO";15;0,515810276679842;1518
"592";1994;"TO";16;0;0
"594";1994;"TO";17;1;3
"577";1994;"TO";18;0,954545454545455;44
"598";1994;"TO";19;0,76056338028169;142
"589";1994;"TO";20;0,496038034865293;631
"582";1994;"TO";21;0;0
"583";1994;"TO";23;0,166666666666667;54
"593";1994;"TO";24;0,467289719626168;107
"591";1994;"TO";26;0,823788546255507;454
"596";1994;"TO";27;1;3
"590";1994;"TO";28;0,558823529411765;408
"584";1994;"TO";29;0,277777777777778;18
"585";1994;"TO";31;0,909090909090909;11
"595";1994;"TO";34;0,712871287128713;101
"587";1994;"TO";35;0,7;10
"586";1994;"TO";36;0,738636363636364;88
"599";1995;"AC";1;0,542842215256008;1914
"620";1995;"AC";5;1;1
"601";1995;"AC";10;0;0
"604";1995;"AC";11;0,625;16
"602";1995;"AC";13;0;0
"603";1995;"AC";14;1;19
"611";1995;"AC";15;0,553003533568905;1132
"615";1995;"AC";16;0;6
"617";1995;"AC";17;0,333333333333333;6
"600";1995;"AC";18;0,923076923076923;26
"621";1995;"AC";19;1;1
"612";1995;"AC";20;0,735321528424977;1073
"605";1995;"AC";21;0,380952380952381;21
"606";1995;"AC";23;0;0
"616";1995;"AC";24;1;5
